species1,species2,Trait Difference,Trait CI1,Trait CI2
Callithrix_geoffroyi,Callimico_goeldii,0.069,[0.00-0.12],[0.04-0.18]
Callithrix_jacchus,Callimico_goeldii,0.077,[0.00-0.09],[0.04-0.18]
Cebuella_pygmaea,Callimico_goeldii,0.053,[0.00-0.13],[0.04-0.18]
Cercopithecus_neglectus,Callimico_goeldii,0.066,[0.00-0.13],[0.04-0.18]
Colobus_guereza,Callimico_goeldii,0.06,[0.01-0.09],[0.04-0.18]
Eulemur_macaco,Callimico_goeldii,0.099,[0.08-0.35],[0.04-0.18]
Galago_moholi,Callimico_goeldii,0.039,[0.01-0.16],[0.04-0.18]
Galago_senegalensis,Callimico_goeldii,0.086,[0.00-0.06],[0.04-0.18]
Gorilla_gorilla,Callimico_goeldii,0.072,[0.00-0.08],[0.04-0.18]
Hylobates_lar,Callimico_goeldii,0.058,[0.07-0.28],[0.04-0.18]
Lemur_catta,Callimico_goeldii,0.03,[0.09-0.18],[0.04-0.18]
Leontopithecus_chrysomelas,Callimico_goeldii,0.016,[0.04-0.22],[0.04-0.18]
Leontopithecus_rosalia,Callimico_goeldii,0.046,[0.02-0.11],[0.04-0.18]
Macaca_fascicularis,Callimico_goeldii,0.101,[0.00-0.05],[0.04-0.18]
Macaca_fuscata,Callimico_goeldii,0.078,[0.00-0.09],[0.04-0.18]
Macaca_nigra,Callimico_goeldii,0.074,[0.00-0.10],[0.04-0.18]
Macaca_silenus,Callimico_goeldii,0.072,[0.00-0.08],[0.04-0.18]
Mandrillus_sphinx,Callimico_goeldii,0.057,[0.00-0.12],[0.04-0.18]
Mico_argentatus,Callimico_goeldii,0.101,[0.00-0.09],[0.04-0.18]
Microcebus_murinus,Callimico_goeldii,0.144,[0.14-0.36],[0.04-0.18]
Nycticebus_coucang,Callimico_goeldii,0.018,[0.01-0.22],[0.04-0.18]
Nycticebus_pygmaeus,Callimico_goeldii,0.123,[0.12-0.35],[0.04-0.18]
Pan_troglodytes,Callimico_goeldii,0.091,[0.00-0.04],[0.04-0.18]
Papio_hamadryas,Callimico_goeldii,0.092,[0.00-0.04],[0.04-0.18]
Propithecus_coquereli,Callimico_goeldii,0.021,[0.01-0.21],[0.04-0.18]
Saguinus_bicolor,Callimico_goeldii,0.061,[0.00-0.15],[0.04-0.18]
Saguinus_imperator,Callimico_goeldii,0.101,[0.00-0.05],[0.04-0.18]
Saguinus_midas,Callimico_goeldii,0.101,[0.00-0.08],[0.04-0.18]
Saguinus_oedipus,Callimico_goeldii,0.027,[0.04-0.12],[0.04-0.18]
Saimiri_sciureus,Callimico_goeldii,0.05,[0.02-0.10],[0.04-0.18]
Sapajus_apella,Callimico_goeldii,0.101,[0.00-0.07],[0.04-0.18]
Theropithecus_gelada,Callimico_goeldii,0.082,[0.00-0.07],[0.04-0.18]
Trachypithecus_auratus,Callimico_goeldii,0.064,[0.00-0.14],[0.04-0.18]
Trachypithecus_cristatus,Callimico_goeldii,0.101,[0.00-0.07],[0.04-0.18]
Trachypithecus_francoisi,Callimico_goeldii,0.001,[0.02-0.22],[0.04-0.18]
Varecia_rubra,Callimico_goeldii,0.034,[0.06-0.23],[0.04-0.18]
Varecia_variegata,Callimico_goeldii,0.07,[0.09-0.26],[0.04-0.18]
Alouatta_caraya,Callithrix_geoffroyi,0.001,[0.00-0.12],[0.00-0.12]
Ateles_geoffroyi,Callithrix_geoffroyi,0.154,[0.08-0.31],[0.00-0.12]
Callimico_goeldii,Callithrix_geoffroyi,0.069,[0.04-0.18],[0.00-0.12]
Callithrix_geoffroyi,Callithrix_geoffroyi,0,[0.00-0.12],[0.00-0.12]
Callithrix_jacchus,Callithrix_geoffroyi,0.008,[0.00-0.09],[0.00-0.12]
Cebuella_pygmaea,Callithrix_geoffroyi,0.017,[0.00-0.13],[0.00-0.12]
Cercopithecus_neglectus,Callithrix_geoffroyi,0.003,[0.00-0.13],[0.00-0.12]
Colobus_guereza,Callithrix_geoffroyi,0.009,[0.01-0.09],[0.00-0.12]
Eulemur_macaco,Callithrix_geoffroyi,0.168,[0.08-0.35],[0.00-0.12]
Galago_moholi,Callithrix_geoffroyi,0.03,[0.01-0.16],[0.00-0.12]
Galago_senegalensis,Callithrix_geoffroyi,0.017,[0.00-0.06],[0.00-0.12]
Gorilla_gorilla,Callithrix_geoffroyi,0.002,[0.00-0.08],[0.00-0.12]
Hylobates_lar,Callithrix_geoffroyi,0.127,[0.07-0.28],[0.00-0.12]
Lemur_catta,Callithrix_geoffroyi,0.099,[0.09-0.18],[0.00-0.12]
Leontopithecus_chrysomelas,Callithrix_geoffroyi,0.085,[0.04-0.22],[0.00-0.12]
Leontopithecus_rosalia,Callithrix_geoffroyi,0.023,[0.02-0.11],[0.00-0.12]
Macaca_fascicularis,Callithrix_geoffroyi,0.032,[0.00-0.05],[0.00-0.12]
Macaca_fuscata,Callithrix_geoffroyi,0.009,[0.00-0.09],[0.00-0.12]
Macaca_nigra,Callithrix_geoffroyi,0.004,[0.00-0.10],[0.00-0.12]
Macaca_silenus,Callithrix_geoffroyi,0.003,[0.00-0.08],[0.00-0.12]
Mandrillus_sphinx,Callithrix_geoffroyi,0.012,[0.00-0.12],[0.00-0.12]
Mico_argentatus,Callithrix_geoffroyi,0.032,[0.00-0.09],[0.00-0.12]
Microcebus_murinus,Callithrix_geoffroyi,0.213,[0.14-0.36],[0.00-0.12]
Nycticebus_coucang,Callithrix_geoffroyi,0.051,[0.01-0.22],[0.00-0.12]
Nycticebus_pygmaeus,Callithrix_geoffroyi,0.192,[0.12-0.35],[0.00-0.12]
Pan_troglodytes,Callithrix_geoffroyi,0.022,[0.00-0.04],[0.00-0.12]
Papio_hamadryas,Callithrix_geoffroyi,0.023,[0.00-0.04],[0.00-0.12]
Propithecus_coquereli,Callithrix_geoffroyi,0.048,[0.01-0.21],[0.00-0.12]
Saguinus_bicolor,Callithrix_geoffroyi,0.008,[0.00-0.15],[0.00-0.12]
Saguinus_imperator,Callithrix_geoffroyi,0.032,[0.00-0.05],[0.00-0.12]
Saguinus_midas,Callithrix_geoffroyi,0.032,[0.00-0.08],[0.00-0.12]
Saguinus_oedipus,Callithrix_geoffroyi,0.042,[0.04-0.12],[0.00-0.12]
Saimiri_sciureus,Callithrix_geoffroyi,0.019,[0.02-0.10],[0.00-0.12]
Sapajus_apella,Callithrix_geoffroyi,0.032,[0.00-0.07],[0.00-0.12]
Theropithecus_gelada,Callithrix_geoffroyi,0.013,[0.00-0.07],[0.00-0.12]
Trachypithecus_auratus,Callithrix_geoffroyi,0.005,[0.00-0.14],[0.00-0.12]
Trachypithecus_cristatus,Callithrix_geoffroyi,0.032,[0.00-0.07],[0.00-0.12]
Trachypithecus_francoisi,Callithrix_geoffroyi,0.068,[0.02-0.22],[0.00-0.12]
Varecia_rubra,Callithrix_geoffroyi,0.103,[0.06-0.23],[0.00-0.12]
Varecia_variegata,Callithrix_geoffroyi,0.139,[0.09-0.26],[0.00-0.12]
Alouatta_caraya,Callithrix_jacchus,0.007,[0.00-0.12],[0.00-0.09]
Ateles_geoffroyi,Callithrix_jacchus,0.162,[0.08-0.31],[0.00-0.09]
Callimico_goeldii,Callithrix_jacchus,0.077,[0.04-0.18],[0.00-0.09]
Callithrix_geoffroyi,Callithrix_jacchus,0.008,[0.00-0.12],[0.00-0.09]
Callithrix_jacchus,Callithrix_jacchus,0,[0.00-0.09],[0.00-0.09]
Cebuella_pygmaea,Callithrix_jacchus,0.024,[0.00-0.13],[0.00-0.09]
Cercopithecus_neglectus,Callithrix_jacchus,0.011,[0.00-0.13],[0.00-0.09]
Colobus_guereza,Callithrix_jacchus,0.017,[0.01-0.09],[0.00-0.09]
Eulemur_macaco,Callithrix_jacchus,0.176,[0.08-0.35],[0.00-0.09]
Galago_moholi,Callithrix_jacchus,0.038,[0.01-0.16],[0.00-0.09]
Galago_senegalensis,Callithrix_jacchus,0.009,[0.00-0.06],[0.00-0.09]
Gorilla_gorilla,Callithrix_jacchus,0.005,[0.00-0.08],[0.00-0.09]
Hylobates_lar,Callithrix_jacchus,0.135,[0.07-0.28],[0.00-0.09]
Lemur_catta,Callithrix_jacchus,0.107,[0.09-0.18],[0.00-0.09]
Leontopithecus_chrysomelas,Callithrix_jacchus,0.093,[0.04-0.22],[0.00-0.09]
Leontopithecus_rosalia,Callithrix_jacchus,0.031,[0.02-0.11],[0.00-0.09]
Macaca_fascicularis,Callithrix_jacchus,0.024,[0.00-0.05],[0.00-0.09]
Macaca_fuscata,Callithrix_jacchus,0.001,[0.00-0.09],[0.00-0.09]
Macaca_nigra,Callithrix_jacchus,0.003,[0.00-0.10],[0.00-0.09]
Macaca_silenus,Callithrix_jacchus,0.005,[0.00-0.08],[0.00-0.09]
Mandrillus_sphinx,Callithrix_jacchus,0.02,[0.00-0.12],[0.00-0.09]
Mico_argentatus,Callithrix_jacchus,0.024,[0.00-0.09],[0.00-0.09]
Microcebus_murinus,Callithrix_jacchus,0.221,[0.14-0.36],[0.00-0.09]
Nycticebus_coucang,Callithrix_jacchus,0.059,[0.01-0.22],[0.00-0.09]
Nycticebus_pygmaeus,Callithrix_jacchus,0.2,[0.12-0.35],[0.00-0.09]
Pan_troglodytes,Callithrix_jacchus,0.014,[0.00-0.04],[0.00-0.09]
Papio_hamadryas,Callithrix_jacchus,0.015,[0.00-0.04],[0.00-0.09]
Propithecus_coquereli,Callithrix_jacchus,0.056,[0.01-0.21],[0.00-0.09]
Saguinus_bicolor,Callithrix_jacchus,0.016,[0.00-0.15],[0.00-0.09]
Saguinus_imperator,Callithrix_jacchus,0.024,[0.00-0.05],[0.00-0.09]
Saguinus_midas,Callithrix_jacchus,0.024,[0.00-0.08],[0.00-0.09]
Saguinus_oedipus,Callithrix_jacchus,0.05,[0.04-0.12],[0.00-0.09]
Saimiri_sciureus,Callithrix_jacchus,0.027,[0.02-0.10],[0.00-0.09]
Sapajus_apella,Callithrix_jacchus,0.024,[0.00-0.07],[0.00-0.09]
Theropithecus_gelada,Callithrix_jacchus,0.005,[0.00-0.07],[0.00-0.09]
Trachypithecus_auratus,Callithrix_jacchus,0.013,[0.00-0.14],[0.00-0.09]
Trachypithecus_cristatus,Callithrix_jacchus,0.024,[0.00-0.07],[0.00-0.09]
Trachypithecus_francoisi,Callithrix_jacchus,0.076,[0.02-0.22],[0.00-0.09]
Varecia_rubra,Callithrix_jacchus,0.111,[0.06-0.23],[0.00-0.09]
Varecia_variegata,Callithrix_jacchus,0.147,[0.09-0.26],[0.00-0.09]
Alouatta_caraya,Cebuella_pygmaea,0.018,[0.00-0.12],[0.00-0.13]
Ateles_geoffroyi,Cebuella_pygmaea,0.137,[0.08-0.31],[0.00-0.13]
Callimico_goeldii,Cebuella_pygmaea,0.053,[0.04-0.18],[0.00-0.13]
Callithrix_geoffroyi,Cebuella_pygmaea,0.017,[0.00-0.12],[0.00-0.13]
Callithrix_jacchus,Cebuella_pygmaea,0.024,[0.00-0.09],[0.00-0.13]
Cebuella_pygmaea,Cebuella_pygmaea,0,[0.00-0.13],[0.00-0.13]
Cercopithecus_neglectus,Cebuella_pygmaea,0.013,[0.00-0.13],[0.00-0.13]
Colobus_guereza,Cebuella_pygmaea,0.008,[0.01-0.09],[0.00-0.13]
Eulemur_macaco,Cebuella_pygmaea,0.151,[0.08-0.35],[0.00-0.13]
Galago_moholi,Cebuella_pygmaea,0.014,[0.01-0.16],[0.00-0.13]
Galago_senegalensis,Cebuella_pygmaea,0.034,[0.00-0.06],[0.00-0.13]
Gorilla_gorilla,Cebuella_pygmaea,0.019,[0.00-0.08],[0.00-0.13]
Hylobates_lar,Cebuella_pygmaea,0.11,[0.07-0.28],[0.00-0.13]
Lemur_catta,Cebuella_pygmaea,0.082,[0.09-0.18],[0.00-0.13]
Leontopithecus_chrysomelas,Cebuella_pygmaea,0.069,[0.04-0.22],[0.00-0.13]
Leontopithecus_rosalia,Cebuella_pygmaea,0.007,[0.02-0.11],[0.00-0.13]
Macaca_fascicularis,Cebuella_pygmaea,0.049,[0.00-0.05],[0.00-0.13]
Macaca_fuscata,Cebuella_pygmaea,0.026,[0.00-0.09],[0.00-0.13]
Macaca_nigra,Cebuella_pygmaea,0.021,[0.00-0.10],[0.00-0.13]
Macaca_silenus,Cebuella_pygmaea,0.019,[0.00-0.08],[0.00-0.13]
Mandrillus_sphinx,Cebuella_pygmaea,0.004,[0.00-0.12],[0.00-0.13]
Mico_argentatus,Cebuella_pygmaea,0.049,[0.00-0.09],[0.00-0.13]
Microcebus_murinus,Cebuella_pygmaea,0.197,[0.14-0.36],[0.00-0.13]
Nycticebus_coucang,Cebuella_pygmaea,0.035,[0.01-0.22],[0.00-0.13]
Nycticebus_pygmaeus,Cebuella_pygmaea,0.176,[0.12-0.35],[0.00-0.13]
Pan_troglodytes,Cebuella_pygmaea,0.038,[0.00-0.04],[0.00-0.13]
Papio_hamadryas,Cebuella_pygmaea,0.039,[0.00-0.04],[0.00-0.13]
Propithecus_coquereli,Cebuella_pygmaea,0.031,[0.01-0.21],[0.00-0.13]
Saguinus_bicolor,Cebuella_pygmaea,0.009,[0.00-0.15],[0.00-0.13]
Saguinus_imperator,Cebuella_pygmaea,0.049,[0.00-0.05],[0.00-0.13]
Saguinus_midas,Cebuella_pygmaea,0.049,[0.00-0.08],[0.00-0.13]
Saguinus_oedipus,Cebuella_pygmaea,0.026,[0.04-0.12],[0.00-0.13]
Saimiri_sciureus,Cebuella_pygmaea,0.003,[0.02-0.10],[0.00-0.13]
Sapajus_apella,Cebuella_pygmaea,0.049,[0.00-0.07],[0.00-0.13]
Theropithecus_gelada,Cebuella_pygmaea,0.03,[0.00-0.07],[0.00-0.13]
Trachypithecus_auratus,Cebuella_pygmaea,0.012,[0.00-0.14],[0.00-0.13]
Trachypithecus_cristatus,Cebuella_pygmaea,0.049,[0.00-0.07],[0.00-0.13]
Trachypithecus_francoisi,Cebuella_pygmaea,0.051,[0.02-0.22],[0.00-0.13]
Varecia_rubra,Cebuella_pygmaea,0.087,[0.06-0.23],[0.00-0.13]
Varecia_variegata,Cebuella_pygmaea,0.122,[0.09-0.26],[0.00-0.13]
Alouatta_caraya,Cercopithecus_neglectus,0.004,[0.00-0.12],[0.00-0.13]
Ateles_geoffroyi,Cercopithecus_neglectus,0.15,[0.08-0.31],[0.00-0.13]
Callimico_goeldii,Cercopithecus_neglectus,0.066,[0.04-0.18],[0.00-0.13]
Callithrix_geoffroyi,Cercopithecus_neglectus,0.003,[0.00-0.12],[0.00-0.13]
Callithrix_jacchus,Cercopithecus_neglectus,0.011,[0.00-0.09],[0.00-0.13]
Cebuella_pygmaea,Cercopithecus_neglectus,0.013,[0.00-0.13],[0.00-0.13]
Cercopithecus_neglectus,Cercopithecus_neglectus,0,[0.00-0.13],[0.00-0.13]
Colobus_guereza,Cercopithecus_neglectus,0.006,[0.01-0.09],[0.00-0.13]
Eulemur_macaco,Cercopithecus_neglectus,0.164,[0.08-0.35],[0.00-0.13]
Galago_moholi,Cercopithecus_neglectus,0.027,[0.01-0.16],[0.00-0.13]
Galago_senegalensis,Cercopithecus_neglectus,0.021,[0.00-0.06],[0.00-0.13]
Gorilla_gorilla,Cercopithecus_neglectus,0.006,[0.00-0.08],[0.00-0.13]
Hylobates_lar,Cercopithecus_neglectus,0.123,[0.07-0.28],[0.00-0.13]
Lemur_catta,Cercopithecus_neglectus,0.095,[0.09-0.18],[0.00-0.13]
Leontopithecus_chrysomelas,Cercopithecus_neglectus,0.082,[0.04-0.22],[0.00-0.13]
Leontopithecus_rosalia,Cercopithecus_neglectus,0.02,[0.02-0.11],[0.00-0.13]
Macaca_fascicularis,Cercopithecus_neglectus,0.036,[0.00-0.05],[0.00-0.13]
Macaca_fuscata,Cercopithecus_neglectus,0.012,[0.00-0.09],[0.00-0.13]
Macaca_nigra,Cercopithecus_neglectus,0.008,[0.00-0.10],[0.00-0.13]
Macaca_silenus,Cercopithecus_neglectus,0.006,[0.00-0.08],[0.00-0.13]
Mandrillus_sphinx,Cercopithecus_neglectus,0.009,[0.00-0.12],[0.00-0.13]
Mico_argentatus,Cercopithecus_neglectus,0.036,[0.00-0.09],[0.00-0.13]
Microcebus_murinus,Cercopithecus_neglectus,0.21,[0.14-0.36],[0.00-0.13]
Nycticebus_coucang,Cercopithecus_neglectus,0.048,[0.01-0.22],[0.00-0.13]
Nycticebus_pygmaeus,Cercopithecus_neglectus,0.189,[0.12-0.35],[0.00-0.13]
Pan_troglodytes,Cercopithecus_neglectus,0.025,[0.00-0.04],[0.00-0.13]
Papio_hamadryas,Cercopithecus_neglectus,0.026,[0.00-0.04],[0.00-0.13]
Propithecus_coquereli,Cercopithecus_neglectus,0.044,[0.01-0.21],[0.00-0.13]
Saguinus_bicolor,Cercopithecus_neglectus,0.004,[0.00-0.15],[0.00-0.13]
Saguinus_imperator,Cercopithecus_neglectus,0.036,[0.00-0.05],[0.00-0.13]
Saguinus_midas,Cercopithecus_neglectus,0.036,[0.00-0.08],[0.00-0.13]
Saguinus_oedipus,Cercopithecus_neglectus,0.039,[0.04-0.12],[0.00-0.13]
Saimiri_sciureus,Cercopithecus_neglectus,0.016,[0.02-0.10],[0.00-0.13]
Sapajus_apella,Cercopithecus_neglectus,0.036,[0.00-0.07],[0.00-0.13]
Theropithecus_gelada,Cercopithecus_neglectus,0.016,[0.00-0.07],[0.00-0.13]
Trachypithecus_auratus,Cercopithecus_neglectus,0.001,[0.00-0.14],[0.00-0.13]
Trachypithecus_cristatus,Cercopithecus_neglectus,0.036,[0.00-0.07],[0.00-0.13]
Trachypithecus_francoisi,Cercopithecus_neglectus,0.064,[0.02-0.22],[0.00-0.13]
Varecia_rubra,Cercopithecus_neglectus,0.1,[0.06-0.23],[0.00-0.13]
Varecia_variegata,Cercopithecus_neglectus,0.135,[0.09-0.26],[0.00-0.13]
Alouatta_caraya,Colobus_guereza,0.01,[0.00-0.12],[0.01-0.09]
Ateles_geoffroyi,Colobus_guereza,0.145,[0.08-0.31],[0.01-0.09]
Callimico_goeldii,Colobus_guereza,0.06,[0.04-0.18],[0.01-0.09]
Callithrix_geoffroyi,Colobus_guereza,0.009,[0.00-0.12],[0.01-0.09]
Callithrix_jacchus,Colobus_guereza,0.017,[0.00-0.09],[0.01-0.09]
Cebuella_pygmaea,Colobus_guereza,0.008,[0.00-0.13],[0.01-0.09]
Cercopithecus_neglectus,Colobus_guereza,0.006,[0.00-0.13],[0.01-0.09]
Colobus_guereza,Colobus_guereza,0,[0.01-0.09],[0.01-0.09]
Eulemur_macaco,Colobus_guereza,0.159,[0.08-0.35],[0.01-0.09]
Galago_moholi,Colobus_guereza,0.021,[0.01-0.16],[0.01-0.09]
Galago_senegalensis,Colobus_guereza,0.026,[0.00-0.06],[0.01-0.09]
Gorilla_gorilla,Colobus_guereza,0.011,[0.00-0.08],[0.01-0.09]
Hylobates_lar,Colobus_guereza,0.118,[0.07-0.28],[0.01-0.09]
Lemur_catta,Colobus_guereza,0.09,[0.09-0.18],[0.01-0.09]
Leontopithecus_chrysomelas,Colobus_guereza,0.076,[0.04-0.22],[0.01-0.09]
Leontopithecus_rosalia,Colobus_guereza,0.014,[0.02-0.11],[0.01-0.09]
Macaca_fascicularis,Colobus_guereza,0.041,[0.00-0.05],[0.01-0.09]
Macaca_fuscata,Colobus_guereza,0.018,[0.00-0.09],[0.01-0.09]
Macaca_nigra,Colobus_guereza,0.013,[0.00-0.10],[0.01-0.09]
Macaca_silenus,Colobus_guereza,0.012,[0.00-0.08],[0.01-0.09]
Mandrillus_sphinx,Colobus_guereza,0.003,[0.00-0.12],[0.01-0.09]
Mico_argentatus,Colobus_guereza,0.041,[0.00-0.09],[0.01-0.09]
Microcebus_murinus,Colobus_guereza,0.204,[0.14-0.36],[0.01-0.09]
Nycticebus_coucang,Colobus_guereza,0.042,[0.01-0.22],[0.01-0.09]
Nycticebus_pygmaeus,Colobus_guereza,0.183,[0.12-0.35],[0.01-0.09]
Pan_troglodytes,Colobus_guereza,0.031,[0.00-0.04],[0.01-0.09]
Papio_hamadryas,Colobus_guereza,0.032,[0.00-0.04],[0.01-0.09]
Propithecus_coquereli,Colobus_guereza,0.039,[0.01-0.21],[0.01-0.09]
Saguinus_bicolor,Colobus_guereza,0.001,[0.00-0.15],[0.01-0.09]
Saguinus_imperator,Colobus_guereza,0.041,[0.00-0.05],[0.01-0.09]
