species1,species2,Trait Difference,Trait CI1,Trait CI2
Saguinus_imperator,Alouatta_caraya,0.125,[0.00-0.05],[0.03-0.25]
Saguinus_midas,Alouatta_caraya,0.125,[0.00-0.08],[0.03-0.25]
Saguinus_oedipus,Alouatta_caraya,0.047,[0.11-0.24],[0.03-0.25]
Saimiri_sciureus,Alouatta_caraya,0.047,[0.04-0.13],[0.03-0.25]
Sapajus_apella,Alouatta_caraya,0.01,[0.02-0.25],[0.03-0.25]
Theropithecus_gelada,Alouatta_caraya,0.106,[0.00-0.07],[0.03-0.25]
Trachypithecus_auratus,Alouatta_caraya,0.088,[0.00-0.14],[0.03-0.25]
Trachypithecus_cristatus,Alouatta_caraya,0.089,[0.00-0.13],[0.03-0.25]
Trachypithecus_francoisi,Alouatta_caraya,0.008,[0.04-0.27],[0.03-0.25]
Varecia_rubra,Alouatta_caraya,0.061,[0.10-0.29],[0.03-0.25]
Varecia_variegata,Alouatta_caraya,0.086,[0.13-0.31],[0.03-0.25]
Alouatta_caraya,Ateles_geoffroyi,0.177,[0.03-0.25],[0.18-0.44]
Ateles_geoffroyi,Ateles_geoffroyi,0,[0.18-0.44],[0.18-0.44]
Callimico_goeldii,Ateles_geoffroyi,0.085,[0.13-0.32],[0.18-0.44]
Callithrix_geoffroyi,Ateles_geoffroyi,0.206,[0.02-0.22],[0.18-0.44]
Callithrix_jacchus,Ateles_geoffroyi,0.278,[0.00-0.09],[0.18-0.44]
Cebuella_pygmaea,Ateles_geoffroyi,0.205,[0.03-0.20],[0.18-0.44]
Cercopithecus_neglectus,Ateles_geoffroyi,0.231,[0.01-0.19],[0.18-0.44]
Colobus_guereza,Ateles_geoffroyi,0.199,[0.05-0.17],[0.18-0.44]
Eulemur_macaco,Ateles_geoffroyi,0.002,[0.15-0.47],[0.18-0.44]
Galago_moholi,Ateles_geoffroyi,0.209,[0.02-0.21],[0.18-0.44]
Galago_senegalensis,Ateles_geoffroyi,0.287,[0.00-0.06],[0.18-0.44]
Gorilla_gorilla,Ateles_geoffroyi,0.093,[0.12-0.31],[0.18-0.44]
Hylobates_lar,Ateles_geoffroyi,0.143,[0.07-0.28],[0.18-0.44]
Lemur_catta,Ateles_geoffroyi,0.147,[0.11-0.20],[0.18-0.44]
Leontopithecus_chrysomelas,Ateles_geoffroyi,0.185,[0.04-0.22],[0.18-0.44]
Leontopithecus_rosalia,Ateles_geoffroyi,0.18,[0.06-0.20],[0.18-0.44]
Macaca_fascicularis,Ateles_geoffroyi,0.248,[0.00-0.14],[0.18-0.44]
Macaca_fuscata,Ateles_geoffroyi,0.209,[0.02-0.19],[0.18-0.44]
Macaca_nigra,Ateles_geoffroyi,0.275,[0.00-0.10],[0.18-0.44]
Macaca_silenus,Ateles_geoffroyi,0.214,[0.03-0.16],[0.18-0.44]
Mandrillus_sphinx,Ateles_geoffroyi,0.213,[0.02-0.18],[0.18-0.44]
Mico_argentatus,Ateles_geoffroyi,0.252,[0.00-0.18],[0.18-0.44]
Microcebus_murinus,Ateles_geoffroyi,0.057,[0.14-0.36],[0.18-0.44]
Nycticebus_coucang,Ateles_geoffroyi,0.219,[0.01-0.22],[0.18-0.44]
Nycticebus_pygmaeus,Ateles_geoffroyi,0.037,[0.15-0.39],[0.18-0.44]
Pan_troglodytes,Ateles_geoffroyi,0.134,[0.10-0.25],[0.18-0.44]
Papio_hamadryas,Ateles_geoffroyi,0.254,[0.01-0.10],[0.18-0.44]
Propithecus_coquereli,Ateles_geoffroyi,0.142,[0.04-0.32],[0.18-0.44]
Saguinus_bicolor,Ateles_geoffroyi,0.262,[0.00-0.15],[0.18-0.44]
Saguinus_imperator,Ateles_geoffroyi,0.302,[0.00-0.05],[0.18-0.44]
Saguinus_midas,Ateles_geoffroyi,0.302,[0.00-0.08],[0.18-0.44]
Saguinus_oedipus,Ateles_geoffroyi,0.131,[0.11-0.24],[0.18-0.44]
Saimiri_sciureus,Ateles_geoffroyi,0.225,[0.04-0.13],[0.18-0.44]
Sapajus_apella,Ateles_geoffroyi,0.187,[0.02-0.25],[0.18-0.44]
Theropithecus_gelada,Ateles_geoffroyi,0.283,[0.00-0.07],[0.18-0.44]
Trachypithecus_auratus,Ateles_geoffroyi,0.265,[0.00-0.14],[0.18-0.44]
Trachypithecus_cristatus,Ateles_geoffroyi,0.267,[0.00-0.13],[0.18-0.44]
Trachypithecus_francoisi,Ateles_geoffroyi,0.169,[0.04-0.27],[0.18-0.44]
Varecia_rubra,Ateles_geoffroyi,0.116,[0.10-0.29],[0.18-0.44]
Varecia_variegata,Ateles_geoffroyi,0.092,[0.13-0.31],[0.18-0.44]
Alouatta_caraya,Callimico_goeldii,0.092,[0.03-0.25],[0.13-0.32]
Ateles_geoffroyi,Callimico_goeldii,0.085,[0.18-0.44],[0.13-0.32]
Callimico_goeldii,Callimico_goeldii,0,[0.13-0.32],[0.13-0.32]
Callithrix_geoffroyi,Callimico_goeldii,0.121,[0.02-0.22],[0.13-0.32]
Callithrix_jacchus,Callimico_goeldii,0.193,[0.00-0.09],[0.13-0.32]
Cebuella_pygmaea,Callimico_goeldii,0.12,[0.03-0.20],[0.13-0.32]
Cercopithecus_neglectus,Callimico_goeldii,0.146,[0.01-0.19],[0.13-0.32]
Colobus_guereza,Callimico_goeldii,0.114,[0.05-0.17],[0.13-0.32]
Eulemur_macaco,Callimico_goeldii,0.083,[0.15-0.47],[0.13-0.32]
Galago_moholi,Callimico_goeldii,0.124,[0.02-0.21],[0.13-0.32]
Galago_senegalensis,Callimico_goeldii,0.202,[0.00-0.06],[0.13-0.32]
Gorilla_gorilla,Callimico_goeldii,0.008,[0.12-0.31],[0.13-0.32]
Hylobates_lar,Callimico_goeldii,0.058,[0.07-0.28],[0.13-0.32]
Lemur_catta,Callimico_goeldii,0.062,[0.11-0.20],[0.13-0.32]
Leontopithecus_chrysomelas,Callimico_goeldii,0.1,[0.04-0.22],[0.13-0.32]
Leontopithecus_rosalia,Callimico_goeldii,0.095,[0.06-0.20],[0.13-0.32]
Macaca_fascicularis,Callimico_goeldii,0.163,[0.00-0.14],[0.13-0.32]
Macaca_fuscata,Callimico_goeldii,0.124,[0.02-0.19],[0.13-0.32]
Macaca_nigra,Callimico_goeldii,0.19,[0.00-0.10],[0.13-0.32]
Macaca_silenus,Callimico_goeldii,0.129,[0.03-0.16],[0.13-0.32]
Mandrillus_sphinx,Callimico_goeldii,0.129,[0.02-0.18],[0.13-0.32]
Mico_argentatus,Callimico_goeldii,0.167,[0.00-0.18],[0.13-0.32]
Microcebus_murinus,Callimico_goeldii,0.028,[0.14-0.36],[0.13-0.32]
Nycticebus_coucang,Callimico_goeldii,0.134,[0.01-0.22],[0.13-0.32]
Nycticebus_pygmaeus,Callimico_goeldii,0.048,[0.15-0.39],[0.13-0.32]
Pan_troglodytes,Callimico_goeldii,0.049,[0.10-0.25],[0.13-0.32]
Papio_hamadryas,Callimico_goeldii,0.169,[0.01-0.10],[0.13-0.32]
Propithecus_coquereli,Callimico_goeldii,0.057,[0.04-0.32],[0.13-0.32]
Saguinus_bicolor,Callimico_goeldii,0.177,[0.00-0.15],[0.13-0.32]
Saguinus_imperator,Callimico_goeldii,0.217,[0.00-0.05],[0.13-0.32]
Saguinus_midas,Callimico_goeldii,0.217,[0.00-0.08],[0.13-0.32]
Saguinus_oedipus,Callimico_goeldii,0.046,[0.11-0.24],[0.13-0.32]
Saimiri_sciureus,Callimico_goeldii,0.14,[0.04-0.13],[0.13-0.32]
Sapajus_apella,Callimico_goeldii,0.102,[0.02-0.25],[0.13-0.32]
Theropithecus_gelada,Callimico_goeldii,0.198,[0.00-0.07],[0.13-0.32]
Trachypithecus_auratus,Callimico_goeldii,0.18,[0.00-0.14],[0.13-0.32]
Trachypithecus_cristatus,Callimico_goeldii,0.182,[0.00-0.13],[0.13-0.32]
Trachypithecus_francoisi,Callimico_goeldii,0.084,[0.04-0.27],[0.13-0.32]
Varecia_rubra,Callimico_goeldii,0.031,[0.10-0.29],[0.13-0.32]
Varecia_variegata,Callimico_goeldii,0.007,[0.13-0.31],[0.13-0.32]
Alouatta_caraya,Callithrix_geoffroyi,0.028,[0.03-0.25],[0.02-0.22]
Ateles_geoffroyi,Callithrix_geoffroyi,0.206,[0.18-0.44],[0.02-0.22]
Callimico_goeldii,Callithrix_geoffroyi,0.121,[0.13-0.32],[0.02-0.22]
Callithrix_geoffroyi,Callithrix_geoffroyi,0,[0.02-0.22],[0.02-0.22]
Callithrix_jacchus,Callithrix_geoffroyi,0.072,[0.00-0.09],[0.02-0.22]
Cebuella_pygmaea,Callithrix_geoffroyi,0.001,[0.03-0.20],[0.02-0.22]
Cercopithecus_neglectus,Callithrix_geoffroyi,0.025,[0.01-0.19],[0.02-0.22]
Colobus_guereza,Callithrix_geoffroyi,0.006,[0.05-0.17],[0.02-0.22]
Eulemur_macaco,Callithrix_geoffroyi,0.203,[0.15-0.47],[0.02-0.22]
Galago_moholi,Callithrix_geoffroyi,0.003,[0.02-0.21],[0.02-0.22]
Galago_senegalensis,Callithrix_geoffroyi,0.082,[0.00-0.06],[0.02-0.22]
Gorilla_gorilla,Callithrix_geoffroyi,0.112,[0.12-0.31],[0.02-0.22]
Hylobates_lar,Callithrix_geoffroyi,0.062,[0.07-0.28],[0.02-0.22]
Lemur_catta,Callithrix_geoffroyi,0.059,[0.11-0.20],[0.02-0.22]
Leontopithecus_chrysomelas,Callithrix_geoffroyi,0.021,[0.04-0.22],[0.02-0.22]
Leontopithecus_rosalia,Callithrix_geoffroyi,0.025,[0.06-0.20],[0.02-0.22]
Macaca_fascicularis,Callithrix_geoffroyi,0.043,[0.00-0.14],[0.02-0.22]
Macaca_fuscata,Callithrix_geoffroyi,0.004,[0.02-0.19],[0.02-0.22]
Macaca_nigra,Callithrix_geoffroyi,0.069,[0.00-0.10],[0.02-0.22]
Macaca_silenus,Callithrix_geoffroyi,0.009,[0.03-0.16],[0.02-0.22]
Mandrillus_sphinx,Callithrix_geoffroyi,0.008,[0.02-0.18],[0.02-0.22]
Mico_argentatus,Callithrix_geoffroyi,0.047,[0.00-0.18],[0.02-0.22]
Microcebus_murinus,Callithrix_geoffroyi,0.149,[0.14-0.36],[0.02-0.22]
Nycticebus_coucang,Callithrix_geoffroyi,0.013,[0.01-0.22],[0.02-0.22]
Nycticebus_pygmaeus,Callithrix_geoffroyi,0.169,[0.15-0.39],[0.02-0.22]
Pan_troglodytes,Callithrix_geoffroyi,0.072,[0.10-0.25],[0.02-0.22]
Papio_hamadryas,Callithrix_geoffroyi,0.048,[0.01-0.10],[0.02-0.22]
Propithecus_coquereli,Callithrix_geoffroyi,0.063,[0.04-0.32],[0.02-0.22]
Saguinus_bicolor,Callithrix_geoffroyi,0.057,[0.00-0.15],[0.02-0.22]
Saguinus_imperator,Callithrix_geoffroyi,0.097,[0.00-0.05],[0.02-0.22]
Saguinus_midas,Callithrix_geoffroyi,0.097,[0.00-0.08],[0.02-0.22]
Saguinus_oedipus,Callithrix_geoffroyi,0.075,[0.11-0.24],[0.02-0.22]
Saimiri_sciureus,Callithrix_geoffroyi,0.019,[0.04-0.13],[0.02-0.22]
Sapajus_apella,Callithrix_geoffroyi,0.019,[0.02-0.25],[0.02-0.22]
Theropithecus_gelada,Callithrix_geoffroyi,0.078,[0.00-0.07],[0.02-0.22]
Trachypithecus_auratus,Callithrix_geoffroyi,0.06,[0.00-0.14],[0.02-0.22]
Trachypithecus_cristatus,Callithrix_geoffroyi,0.061,[0.00-0.13],[0.02-0.22]
Trachypithecus_francoisi,Callithrix_geoffroyi,0.037,[0.04-0.27],[0.02-0.22]
Varecia_rubra,Callithrix_geoffroyi,0.09,[0.10-0.29],[0.02-0.22]
Varecia_variegata,Callithrix_geoffroyi,0.114,[0.13-0.31],[0.02-0.22]
Alouatta_caraya,Callithrix_jacchus,0.101,[0.03-0.25],[0.00-0.09]
Ateles_geoffroyi,Callithrix_jacchus,0.278,[0.18-0.44],[0.00-0.09]
Callimico_goeldii,Callithrix_jacchus,0.193,[0.13-0.32],[0.00-0.09]
Callithrix_geoffroyi,Callithrix_jacchus,0.072,[0.02-0.22],[0.00-0.09]
Callithrix_jacchus,Callithrix_jacchus,0,[0.00-0.09],[0.00-0.09]
Cebuella_pygmaea,Callithrix_jacchus,0.073,[0.03-0.20],[0.00-0.09]
Cercopithecus_neglectus,Callithrix_jacchus,0.047,[0.01-0.19],[0.00-0.09]
Colobus_guereza,Callithrix_jacchus,0.079,[0.05-0.17],[0.00-0.09]
Eulemur_macaco,Callithrix_jacchus,0.276,[0.15-0.47],[0.00-0.09]
Galago_moholi,Callithrix_jacchus,0.069,[0.02-0.21],[0.00-0.09]
Galago_senegalensis,Callithrix_jacchus,0.009,[0.00-0.06],[0.00-0.09]
Gorilla_gorilla,Callithrix_jacchus,0.185,[0.12-0.31],[0.00-0.09]
Hylobates_lar,Callithrix_jacchus,0.135,[0.07-0.28],[0.00-0.09]
Lemur_catta,Callithrix_jacchus,0.131,[0.11-0.20],[0.00-0.09]
Leontopithecus_chrysomelas,Callithrix_jacchus,0.093,[0.04-0.22],[0.00-0.09]
Leontopithecus_rosalia,Callithrix_jacchus,0.098,[0.06-0.20],[0.00-0.09]
Macaca_fascicularis,Callithrix_jacchus,0.03,[0.00-0.14],[0.00-0.09]
Macaca_fuscata,Callithrix_jacchus,0.069,[0.02-0.19],[0.00-0.09]
Macaca_nigra,Callithrix_jacchus,0.003,[0.00-0.10],[0.00-0.09]
Macaca_silenus,Callithrix_jacchus,0.064,[0.03-0.16],[0.00-0.09]
Mandrillus_sphinx,Callithrix_jacchus,0.064,[0.02-0.18],[0.00-0.09]
Mico_argentatus,Callithrix_jacchus,0.026,[0.00-0.18],[0.00-0.09]
Microcebus_murinus,Callithrix_jacchus,0.221,[0.14-0.36],[0.00-0.09]
Nycticebus_coucang,Callithrix_jacchus,0.059,[0.01-0.22],[0.00-0.09]
Nycticebus_pygmaeus,Callithrix_jacchus,0.241,[0.15-0.39],[0.00-0.09]
Pan_troglodytes,Callithrix_jacchus,0.144,[0.10-0.25],[0.00-0.09]
Papio_hamadryas,Callithrix_jacchus,0.024,[0.01-0.10],[0.00-0.09]
Propithecus_coquereli,Callithrix_jacchus,0.136,[0.04-0.32],[0.00-0.09]
Saguinus_bicolor,Callithrix_jacchus,0.016,[0.00-0.15],[0.00-0.09]
Saguinus_imperator,Callithrix_jacchus,0.024,[0.00-0.05],[0.00-0.09]
Saguinus_midas,Callithrix_jacchus,0.024,[0.00-0.08],[0.00-0.09]
Saguinus_oedipus,Callithrix_jacchus,0.147,[0.11-0.24],[0.00-0.09]
Saimiri_sciureus,Callithrix_jacchus,0.053,[0.04-0.13],[0.00-0.09]
Sapajus_apella,Callithrix_jacchus,0.091,[0.02-0.25],[0.00-0.09]
Theropithecus_gelada,Callithrix_jacchus,0.005,[0.00-0.07],[0.00-0.09]
Trachypithecus_auratus,Callithrix_jacchus,0.013,[0.00-0.14],[0.00-0.09]
Trachypithecus_cristatus,Callithrix_jacchus,0.011,[0.00-0.13],[0.00-0.09]
Trachypithecus_francoisi,Callithrix_jacchus,0.109,[0.04-0.27],[0.00-0.09]
Varecia_rubra,Callithrix_jacchus,0.162,[0.10-0.29],[0.00-0.09]
Varecia_variegata,Callithrix_jacchus,0.186,[0.13-0.31],[0.00-0.09]
Alouatta_caraya,Cebuella_pygmaea,0.027,[0.03-0.25],[0.03-0.20]
Ateles_geoffroyi,Cebuella_pygmaea,0.205,[0.18-0.44],[0.03-0.20]
Callimico_goeldii,Cebuella_pygmaea,0.12,[0.13-0.32],[0.03-0.20]
Callithrix_geoffroyi,Cebuella_pygmaea,0.001,[0.02-0.22],[0.03-0.20]
Callithrix_jacchus,Cebuella_pygmaea,0.073,[0.00-0.09],[0.03-0.20]
Cebuella_pygmaea,Cebuella_pygmaea,0,[0.03-0.20],[0.03-0.20]
Cercopithecus_neglectus,Cebuella_pygmaea,0.026,[0.01-0.19],[0.03-0.20]
Colobus_guereza,Cebuella_pygmaea,0.006,[0.05-0.17],[0.03-0.20]
Eulemur_macaco,Cebuella_pygmaea,0.202,[0.15-0.47],[0.03-0.20]
Galago_moholi,Cebuella_pygmaea,0.004,[0.02-0.21],[0.03-0.20]
Galago_senegalensis,Cebuella_pygmaea,0.082,[0.00-0.06],[0.03-0.20]
Gorilla_gorilla,Cebuella_pygmaea,0.111,[0.12-0.31],[0.03-0.20]
Hylobates_lar,Cebuella_pygmaea,0.062,[0.07-0.28],[0.03-0.20]
Lemur_catta,Cebuella_pygmaea,0.058,[0.11-0.20],[0.03-0.20]
Leontopithecus_chrysomelas,Cebuella_pygmaea,0.02,[0.04-0.22],[0.03-0.20]
Leontopithecus_rosalia,Cebuella_pygmaea,0.025,[0.06-0.20],[0.03-0.20]
Macaca_fascicularis,Cebuella_pygmaea,0.044,[0.00-0.14],[0.03-0.20]
Macaca_fuscata,Cebuella_pygmaea,0.005,[0.02-0.19],[0.03-0.20]
Macaca_nigra,Cebuella_pygmaea,0.07,[0.00-0.10],[0.03-0.20]
Macaca_silenus,Cebuella_pygmaea,0.009,[0.03-0.16],[0.03-0.20]
Mandrillus_sphinx,Cebuella_pygmaea,0.009,[0.02-0.18],[0.03-0.20]
Mico_argentatus,Cebuella_pygmaea,0.048,[0.00-0.18],[0.03-0.20]
Microcebus_murinus,Cebuella_pygmaea,0.148,[0.14-0.36],[0.03-0.20]
Nycticebus_coucang,Cebuella_pygmaea,0.014,[0.01-0.22],[0.03-0.20]
Nycticebus_pygmaeus,Cebuella_pygmaea,0.168,[0.15-0.39],[0.03-0.20]
Pan_troglodytes,Cebuella_pygmaea,0.071,[0.10-0.25],[0.03-0.20]
Papio_hamadryas,Cebuella_pygmaea,0.049,[0.01-0.10],[0.03-0.20]
Propithecus_coquereli,Cebuella_pygmaea,0.062,[0.04-0.32],[0.03-0.20]
Saguinus_bicolor,Cebuella_pygmaea,0.058,[0.00-0.15],[0.03-0.20]
Saguinus_imperator,Cebuella_pygmaea,0.098,[0.00-0.05],[0.03-0.20]
Saguinus_midas,Cebuella_pygmaea,0.098,[0.00-0.08],[0.03-0.20]
Saguinus_oedipus,Cebuella_pygmaea,0.074,[0.11-0.24],[0.03-0.20]
Saimiri_sciureus,Cebuella_pygmaea,0.02,[0.04-0.13],[0.03-0.20]
Sapajus_apella,Cebuella_pygmaea,0.018,[0.02-0.25],[0.03-0.20]
Theropithecus_gelada,Cebuella_pygmaea,0.078,[0.00-0.07],[0.03-0.20]
Trachypithecus_auratus,Cebuella_pygmaea,0.061,[0.00-0.14],[0.03-0.20]
Trachypithecus_cristatus,Cebuella_pygmaea,0.062,[0.00-0.13],[0.03-0.20]
Trachypithecus_francoisi,Cebuella_pygmaea,0.036,[0.04-0.27],[0.03-0.20]
Varecia_rubra,Cebuella_pygmaea,0.089,[0.10-0.29],[0.03-0.20]
Varecia_variegata,Cebuella_pygmaea,0.113,[0.13-0.31],[0.03-0.20]
Alouatta_caraya,Cercopithecus_neglectus,0.054,[0.03-0.25],[0.01-0.19]
Ateles_geoffroyi,Cercopithecus_neglectus,0.231,[0.18-0.44],[0.01-0.19]
Callimico_goeldii,Cercopithecus_neglectus,0.146,[0.13-0.32],[0.01-0.19]
Callithrix_geoffroyi,Cercopithecus_neglectus,0.025,[0.02-0.22],[0.01-0.19]
Callithrix_jacchus,Cercopithecus_neglectus,0.047,[0.00-0.09],[0.01-0.19]
Cebuella_pygmaea,Cercopithecus_neglectus,0.026,[0.03-0.20],[0.01-0.19]
Cercopithecus_neglectus,Cercopithecus_neglectus,0,[0.01-0.19],[0.01-0.19]
Colobus_guereza,Cercopithecus_neglectus,0.032,[0.05-0.17],[0.01-0.19]
Eulemur_macaco,Cercopithecus_neglectus,0.229,[0.15-0.47],[0.01-0.19]
Galago_moholi,Cercopithecus_neglectus,0.022,[0.02-0.21],[0.01-0.19]
Galago_senegalensis,Cercopithecus_neglectus,0.056,[0.00-0.06],[0.01-0.19]
Gorilla_gorilla,Cercopithecus_neglectus,0.138,[0.12-0.31],[0.01-0.19]
Hylobates_lar,Cercopithecus_neglectus,0.088,[0.07-0.28],[0.01-0.19]
Lemur_catta,Cercopithecus_neglectus,0.084,[0.11-0.20],[0.01-0.19]
Leontopithecus_chrysomelas,Cercopithecus_neglectus,0.046,[0.04-0.22],[0.01-0.19]
Leontopithecus_rosalia,Cercopithecus_neglectus,0.051,[0.06-0.20],[0.01-0.19]
Macaca_fascicularis,Cercopithecus_neglectus,0.017,[0.00-0.14],[0.01-0.19]
Macaca_fuscata,Cercopithecus_neglectus,0.022,[0.02-0.19],[0.01-0.19]
Macaca_nigra,Cercopithecus_neglectus,0.044,[0.00-0.10],[0.01-0.19]
Macaca_silenus,Cercopithecus_neglectus,0.017,[0.03-0.16],[0.01-0.19]
Mandrillus_sphinx,Cercopithecus_neglectus,0.017,[0.02-0.18],[0.01-0.19]
Mico_argentatus,Cercopithecus_neglectus,0.021,[0.00-0.18],[0.01-0.19]
Microcebus_murinus,Cercopithecus_neglectus,0.174,[0.14-0.36],[0.01-0.19]
Nycticebus_coucang,Cercopithecus_neglectus,0.012,[0.01-0.22],[0.01-0.19]
Nycticebus_pygmaeus,Cercopithecus_neglectus,0.194,[0.15-0.39],[0.01-0.19]
Pan_troglodytes,Cercopithecus_neglectus,0.097,[0.10-0.25],[0.01-0.19]
Papio_hamadryas,Cercopithecus_neglectus,0.023,[0.01-0.10],[0.01-0.19]
Propithecus_coquereli,Cercopithecus_neglectus,0.089,[0.04-0.32],[0.01-0.19]
Saguinus_bicolor,Cercopithecus_neglectus,0.031,[0.00-0.15],[0.01-0.19]
Saguinus_imperator,Cercopithecus_neglectus,0.071,[0.00-0.05],[0.01-0.19]
Saguinus_midas,Cercopithecus_neglectus,0.071,[0.00-0.08],[0.01-0.19]
Saguinus_oedipus,Cercopithecus_neglectus,0.1,[0.11-0.24],[0.01-0.19]
Saimiri_sciureus,Cercopithecus_neglectus,0.006,[0.04-0.13],[0.01-0.19]
Sapajus_apella,Cercopithecus_neglectus,0.044,[0.02-0.25],[0.01-0.19]
Theropithecus_gelada,Cercopithecus_neglectus,0.052,[0.00-0.07],[0.01-0.19]
Trachypithecus_auratus,Cercopithecus_neglectus,0.034,[0.00-0.14],[0.01-0.19]
Trachypithecus_cristatus,Cercopithecus_neglectus,0.036,[0.00-0.13],[0.01-0.19]
Trachypithecus_francoisi,Cercopithecus_neglectus,0.062,[0.04-0.27],[0.01-0.19]
Varecia_rubra,Cercopithecus_neglectus,0.115,[0.10-0.29],[0.01-0.19]
Varecia_variegata,Cercopithecus_neglectus,0.139,[0.13-0.31],[0.01-0.19]
Alouatta_caraya,Colobus_guereza,0.022,[0.03-0.25],[0.05-0.17]
Ateles_geoffroyi,Colobus_guereza,0.199,[0.18-0.44],[0.05-0.17]
Callimico_goeldii,Colobus_guereza,0.114,[0.13-0.32],[0.05-0.17]
Callithrix_geoffroyi,Colobus_guereza,0.006,[0.02-0.22],[0.05-0.17]
Callithrix_jacchus,Colobus_guereza,0.079,[0.00-0.09],[0.05-0.17]
Cebuella_pygmaea,Colobus_guereza,0.006,[0.03-0.20],[0.05-0.17]
Cercopithecus_neglectus,Colobus_guereza,0.032,[0.01-0.19],[0.05-0.17]
Colobus_guereza,Colobus_guereza,0,[0.05-0.17],[0.05-0.17]
Eulemur_macaco,Colobus_guereza,0.197,[0.15-0.47],[0.05-0.17]
Galago_moholi,Colobus_guereza,0.009,[0.02-0.21],[0.05-0.17]
Galago_senegalensis,Colobus_guereza,0.088,[0.00-0.06],[0.05-0.17]
Gorilla_gorilla,Colobus_guereza,0.106,[0.12-0.31],[0.05-0.17]
Hylobates_lar,Colobus_guereza,0.056,[0.07-0.28],[0.05-0.17]
Lemur_catta,Colobus_guereza,0.053,[0.11-0.20],[0.05-0.17]
Leontopithecus_chrysomelas,Colobus_guereza,0.015,[0.04-0.22],[0.05-0.17]
Leontopithecus_rosalia,Colobus_guereza,0.019,[0.06-0.20],[0.05-0.17]
Macaca_fascicularis,Colobus_guereza,0.049,[0.00-0.14],[0.05-0.17]
Macaca_fuscata,Colobus_guereza,0.01,[0.02-0.19],[0.05-0.17]
Macaca_nigra,Colobus_guereza,0.075,[0.00-0.10],[0.05-0.17]
Macaca_silenus,Colobus_guereza,0.015,[0.03-0.16],[0.05-0.17]
Mandrillus_sphinx,Colobus_guereza,0.014,[0.02-0.18],[0.05-0.17]
Mico_argentatus,Colobus_guereza,0.053,[0.00-0.18],[0.05-0.17]
Microcebus_murinus,Colobus_guereza,0.143,[0.14-0.36],[0.05-0.17]
Nycticebus_coucang,Colobus_guereza,0.02,[0.01-0.22],[0.05-0.17]
Nycticebus_pygmaeus,Colobus_guereza,0.162,[0.15-0.39],[0.05-0.17]
Pan_troglodytes,Colobus_guereza,0.065,[0.10-0.25],[0.05-0.17]
Papio_hamadryas,Colobus_guereza,0.055,[0.01-0.10],[0.05-0.17]
Propithecus_coquereli,Colobus_guereza,0.057,[0.04-0.32],[0.05-0.17]
Saguinus_bicolor,Colobus_guereza,0.063,[0.00-0.15],[0.05-0.17]
Saguinus_imperator,Colobus_guereza,0.103,[0.00-0.05],[0.05-0.17]
