task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
132	e4/7664b7	716910	CT:BOOTSTRAP (ACAP3.Homo_sapiens.filter2)	COMPLETED	0	2024-07-08 19:26:13.355	2m 1s	2m 1s	41.0%	109.4 MB	1.6 GB	18.7 MB	28.6 KB
165	1d/b0e743	732377	CT:BOOTSTRAP (ACOT8.Homo_sapiens.filter2)	COMPLETED	0	2024-07-08 19:27:17.355	57.7s	57.2s	40.7%	102.1 MB	1.6 GB	18.6 MB	12.5 KB
164	93/9532de	737018	CT:BOOTSTRAP (ACOT7.Homo_sapiens.filter2)	COMPLETED	0	2024-07-08 19:27:31.378	44.2s	43.2s	44.5%	101.5 MB	1.6 GB	18.6 MB	7.8 KB
161	d0/cf209c	735249	CT:BOOTSTRAP (ACOT13.Homo_sapiens.filter2)	COMPLETED	0	2024-07-08 19:27:25.357	51.5s	50.9s	40.4%	99.7 MB	1.6 GB	18.6 MB	9 KB
33	e7/cac76b	675778	CT:BOOTSTRAP (ABCA13.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:23:23.360	-	-	-	-	-	-	-
120	02/943d4e	717586	CT:BOOTSTRAP (ACACB.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:26:15.355	-	-	-	-	-	-	-
163	a1/5f70d6	734390	CT:BOOTSTRAP (ACOT4.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:27:23.356	-	-	-	-	-	-	-
180	4d/2b44cb	745307	CT:BOOTSTRAP (ACSBG1.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:28:09.355	-	-	-	-	-	-	-
181	9e/c711d2	745794	CT:BOOTSTRAP (ACSBG2.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:28:11.355	-	-	-	-	-	-	-
190	85/8e846c	746996	CT:BOOTSTRAP (ACSM2B.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:28:15.356	-	-	-	-	-	-	-
194	7b/7656b5	747740	CT:BOOTSTRAP (ACSS1.Homo_sapiens.filter2)	ABORTED	-	2024-07-08 19:28:17.357	-	-	-	-	-	-	-
