"species","common_name","family","adult_necropsy_count","neoplasia_necropsy","neoplasia_prevalence","benign_count","benign_prevalence","malignant_count","malignant_prevalence","body_mass","mass_g","log_body_mass","mature_f","mature_m","mature_age","MLS.anage","LQ","tax_id"
"Saguinus_imperator","Emperor tamarin","Cebidae",36,0,0,0,0,0,0,0.5185,518.5,2.71474876072506,1.5,2,2,23.7,1.12397473605413,9491
"Saguinus_midas","Red-handed tamarin","Cebidae",22,0,0,0,0,0,0,0.5538,553.8,2.74335295140956,1.67,1.5,1.67,21,0.983606310228776,30586
"Saguinus_oedipus","Tamarin monkey","Cebidae",134,23,0.171641791044776,13,0.0970149253731343,10,NA,0.445,445,2.64836001098093,1.5,1.51,1.51,26.2,1.27896001950455,9490
"Saimiri_sciureus","Common squirrel monkey","Cebidae",116,9,0.0775862068965517,3,0.0258620689655172,6,NA,0.925,925,2.96614173273903,2.75,5,5,30.2,1.2838133125392,9521
"Sapajus_apella","Tufted capuchin","Cebidae",26,3,0.115384615384615,3,0.115384615384615,0,0,2.85,2850,3.45484486000851,4.67,8,8,46,1.5808398403266,9515
"Theropithecus_gelada","Gelada baboon","Cercopithecidae",52,1,0.0192307692307692,0,0,1,0.0192307692307692,16.2,16200,4.20951501454263,3.81,6,6,36,0.890840355072966,9565
"Trachypithecus_auratus","Javan langur","Cercopithecidae",27,1,0.037037037037037,0,0,1,0.037037037037037,9.72,9720,3.98766626492627,3.5,NA,NA,31.1,0.847592654426344,222416
"Trachypithecus_cristatus","Silvery langur","Cercopithecidae",28,1,0.0357142857142857,1,0.0357142857142857,0,0,6.185,6185,3.79133970396514,4,3.5,4,28.3,0.840076721920615,122765
"Trachypithecus_francoisi","Francois' langur","Cercopithecidae",30,4,0.133333333333333,1,0.0333333333333333,3,0.1,7.325,7325,3.86480762902615,4,4.5,4,26.3,0.75614106723843,54180
"Varecia_rubra","Red ruffed lemur","Lemuridae",59,11,0.186440677966102,3,0.0508474576271187,8,0.135593220338983,3.601,3601,3.55642312137129,1.67,1.78,1.78,37.5,1.23299983114277,554167
"Varecia_variegata","Black-and-white ruffed lemur","Lemuridae",76,16,NA,3,0.0394736842105263,13,0.171052631578947,3.482,3482,3.54182876678131,1.66,1.78,1.78,40,1.32357962703265,9455
